AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX,year
-1.7850019687441263,0.9204166180187194,0.2960735170040698,-0.5701646139745896,-0.3162154159513801,0.1852522732818233,0.5590985268337504,0.07067420831039622,-0.14557698004877603,0.32663,81.952,2011
-1.8250693018756352,0.8578818693194116,0.33631871102012034,-0.5762124687491059,-0.3228284665156355,0.17931416695404415,0.587638323699686,0.07067420831039622,-0.1509618174613992,0.44784,82.377,2011
-1.877934788597351,0.8735155564942385,0.38109148936297665,-0.5615248214395663,-0.31361743180113694,0.20306659226513385,0.6058000126143924,0.09750603251381204,-0.016340882145824933,0.45144,83.776,2011
-1.899818135171892,0.8578818693194116,0.42248654606519936,-0.5639933335924303,-0.33227568160742926,0.20306659226513385,0.6032054856265667,0.09313806113186113,-0.06300947305522354,0.23107,82.505,2011
-1.8987300881079,0.7797134334452946,0.4043762087579771,-0.5673258249987964,-0.33085859934366013,0.16743795429851277,0.5811520062301586,0.07067420831039622,-0.1348073052235297,0.26747,82.028,2011
-1.8804780986094325,0.7640797462704855,0.3155493162511228,-0.5620185238701395,-0.33416512462578873,0.17337606062627847,0.5785574792423476,0.07067420831039622,-0.17250116711189026,0.23473,81.748,2011
-1.909868969925519,0.8109808077949485,0.32762287445593835,-0.564487036023003,-0.33747164990791645,0.16743795429851277,0.5863410602057806,0.07129820422210476,-0.16442391099295553,0.44412,84.592,2011
-1.9208174435069394,0.8422481821446024,0.30987186923814475,-0.567819527429369,-0.34054199481274905,0.17337606062627847,0.5655848443032779,0.07005021239868946,-0.1500643445592943,0.79996,84.193,2011
-1.9042791281342597,0.8891492436690654,0.3875594669726983,-0.5369631255185722,-0.3214113842518664,0.191190379609589,0.5785574792423476,0.06942621648698269,-0.1707062213076836,0.68996,83.978,2011
-1.7523197550594638,0.8891492436690654,0.41616230129124904,-0.6442199785605023,-0.4477678861046105,0.00117097712091174,0.5552067363520192,-0.05412497403107074,-0.3286614520779556,1.0281,82.654,2011
-1.5883918642807546,0.8735155564942385,0.4670437251543983,-0.5713988700510213,-0.3138536121784312,0.1614998479707336,0.5863410602057806,0.10624197527771564,-0.2299394328465352,1.0214,81.952,2011
-1.3223371559580877,0.7953471206201216,0.5739090885505888,0.43538381149446154,1.1360577240346452,0.6781150984868203,-1.3893912410140852,1.189498878001648,1.1422966344702152,0.94292,73.286,2011
-1.0664284865071467,0.6859113103963684,0.3373248408705213,0.8152878318201928,1.6587248989881458,1.0165871591697746,-1.9381336989365956,1.6506318567533693,1.6771904841240959,1.0428,70.558,2011
-0.9507146812515874,0.5764755001725976,0.05086529917770661,0.8823079367704444,1.7527246891514947,1.0165871591697746,-2.1521821754312085,1.688695607367516,1.7848872323765543,1.3484,71.115,2011
-0.910592945766879,0.5452081258229436,-0.10256950300848565,0.8716933345131297,1.7369006038727397,1.0106490528419954,-2.1353177500104223,1.67621568913337,1.7570655724113367,1.0686,70.107,2011
-0.9202493634598088,0.5295744386481345,-0.1146430612133012,0.8073885929310296,1.6783278703036177,1.0225252654975403,-1.9264583274914462,1.6568718158704423,1.691550050557757,0.21538,67.415,2011
-0.9462264871126199,0.48267337712365366,-0.020713653036555004,0.8318268632443809,1.727453388780946,1.0165871591697746,-2.0976971086871186,1.69243958283776,1.7633478827260631,0.23574,67.49,2011
-1.0251098992520469,0.4670396899488267,0.1342303439252392,0.7441946818177168,1.645734978236929,0.9928347338586848,-1.9264583274914462,1.6911915910143447,1.584750775207402,0.62972,66.863,2011
-1.1159754296836868,0.45140600277401755,0.21292407151019468,0.7170410481362152,1.62967471258088,0.9928347338586848,-1.9160802195401874,1.7036715092484924,1.6628309176904346,0.57439,67.361,2011
-1.6761700611683168,0.23253438232647577,0.7836152959413657,-0.503267934631982,-0.29614008388131774,0.1021187846930228,0.4656955552724664,0.04509037593039571,-0.22096470382549713,0.52213,82.137,2011
-1.6622158575726182,0.16999963362718573,0.6518841519566868,-0.9316782187614866,-0.9598069440798425,-0.8182876961114947,0.535747783943422,-0.7230485913813327,-0.833041223060307,1.1662,84.908,2011
-1.6674384834797802,0.12309857210272265,0.5905102310822101,-0.4991948895797565,-0.3126727102919572,0.11993310367633334,0.5435313649068697,-0.0017093174476544076,-0.24070910767178152,0.46707,82.951,2011
-1.6640111352282052,0.09183119775306875,0.5902227654106665,-0.6465650651057229,-0.5443656604182034,-0.20072463802329688,0.5980164316509448,-0.27127555130522263,-0.4085365403651965,0.6789,82.624,2011
-1.6774757176451074,0.04493013622860568,0.5035518654403864,-0.5899127111974997,-0.4484764272364951,-0.05227197982901988,0.5941246411692283,-0.15334032399253542,-0.35289322043475985,0.67688,84.05,2011
-1.6985294283333543,-0.001970925295875176,0.541712933337749,-0.6565625393248214,-0.5616068279607275,-0.21853895700660741,0.5928273776753228,-0.2793874981574177,-0.335841235294787,0.9025,85.062,2011
-1.6947620653742816,-0.01760461247068435,0.5619073967636593,-0.5105500454829301,-0.3594364249963374,0.07836635938194658,0.5720711617728054,-0.042269051708629754,-0.33045639788216385,0.6558,82.947,2011
-1.6917563353600038,-0.048871986820338255,0.6452724415111929,-0.7594994960992396,-0.7344908641405574,-0.48575374175630603,0.5889355871935915,-0.485306149020838,-0.5467473672891857,1.0513,83.447,2011
-1.5959809925520996,-0.048871986820338255,0.7994259078762426,-0.5423938522548724,-0.4418633766722396,-0.0463338735012542,0.5837465332179695,-0.18142014001936654,-0.39327950102943193,0.76573,82.3,2011
-1.4885363449828801,-0.001970925295875176,0.8137991914534036,-0.4160060300282483,-0.2628386506827445,0.191190379609589,0.5863410602057806,-0.0010853215359458669,-0.2496838366928196,0.67836,82.355,2011
-1.3792692185814739,0.029296449053778727,0.7721885354975224,-0.39847959374291536,-0.26449191332380795,0.1614998479707336,0.5642875808093724,-0.034781100768143225,-0.23352932445495012,0.71119,80.614,2011
-1.1479368121884546,0.06056382340343262,0.8566315765133421,-0.2896182078016237,-0.1636428922189076,0.32182871882055547,0.5642875808093724,0.008274617139662736,-0.12583257620249164,0.83687,79.252,2011
-0.8651669808452088,0.04493013622860568,0.6296774288299725,-0.41094558011487736,-0.22245180616532464,0.20900469859289955,0.5616930538215614,0.008898613051371277,-0.16173149228664394,0.9455,74.72,2011
-0.7064481153853619,-0.0332382996455113,-0.013023946322774009,-0.4451344734320407,-0.22741159408851666,0.16743795429851277,0.5435313649068697,0.008274617139662736,-0.14647445295087938,1.3348,78.366,2011
-0.6272926914799372,-0.1426741098692822,-0.3503649118787379,-0.4044040229097883,-0.21890910050590262,0.1852522732818233,0.5331532569556111,0.008274617139662736,-0.1348073052235297,1.7444,78.338,2011
-0.5786025853662908,-0.1739414842189183,-0.5250721737591286,-0.3834216696104465,-0.22221562578803036,0.20900469859289955,0.5590985268337504,0.006402629404540661,-0.18327084193713658,1.8456,77.351,2011
-0.5825467559732621,-0.2052088585685722,-0.5793313192629105,-0.7888747907183183,-0.7791289554492838,-0.6282682936228173,0.5967191681570392,-0.6150972986559635,-0.7504737160667545,1.1522,77.843,2011
-0.6597980975167008,-0.1739414842189183,-0.2413435559459733,-0.772088908078845,-0.6818226400038055,-0.5095061670673957,0.5422341014129642,-0.48780213266766775,-0.6607264258563722,1.3411,77.931,2011
-0.741673639082106,-0.15830779704410913,-0.03587746721045958,0.7709780386762886,1.645734978236929,0.98095852120314,-1.8304608289423512,1.5688883923197083,1.5021832682138494,0.39199,66.904,2011
-0.7394975449541219,-0.15830779704410913,-0.17874790596743823,0.689270286416498,1.47143385979333,0.9868966275309191,-1.5593327587158523,1.4790329810338523,1.3837168451361446,0.30271,67.566,2011
-0.776219133363855,-0.1739414842189183,-0.12829768061160382,0.737282847789699,1.5911773110818186,1.0047109465142297,-1.7707867082226394,1.5732563637016592,1.4815413914654616,0.28619,66.882,2011
-0.8311655100954558,-0.18957517139374527,0.08866703498563933,0.747280322008797,1.626132006921457,1.0106490528419954,-1.9057021115889288,1.6200560570797093,1.597315395836855,0.31771,65.784,2011
-0.8065484452726348,-0.22084254574339918,0.24425782970840476,0.8025749942329445,1.671478639362068,1.0106490528419954,-1.9537008608634763,1.6200560570797093,1.6619334447883312,0.21372,66.586,2011
-0.6920314917874667,-0.2521099200930353,0.06351378872560726,0.19939404968068616,0.7182546366000581,0.3752716757705006,-0.9405380721223715,0.7489577643362695,0.7285616266003511,1.4903,70.248,2011
-0.7350093508151545,-0.29901098161751616,0.0006306730755286193,-0.609907659635696,-0.40312979479588407,-0.07008629881233042,0.5422341014129642,-0.1352444425530232,-0.246991417986508,1.1282,76.463,2011
-0.8541505043222889,-0.36154573031680615,0.2980857767048728,-0.5327666548587037,-0.28740140992140856,0.09618067836525712,0.5733684252667256,0.007026625316249202,-0.28378780697276523,0.96691,76.97,2011
-0.8602707690572444,-0.4240804790160962,0.5015396057395846,-0.4991948895797565,-0.253627615968245,0.1377474226596574,0.5590985268337504,0.02949047813771233,-0.19224557095817466,0.84245,74.86,2011
-0.8128047158905892,-0.4553478533657501,0.4635222706779934,-0.4831495605861422,-0.2607130272870908,0.1318093163318782,0.6213671745412583,0.008274617139662736,-0.20301524578342098,0.74312,74.746,2011
-0.8138927629545815,-0.533516289239867,-0.021863515722727236,-0.5281999073759059,-0.2753562106793708,0.09618067836525712,0.5694766347849943,0.008274617139662736,-0.20840008319604414,0.52938,74.94,2011
-0.8606787867062414,-0.5647836635895032,0.08241465662957413,-0.5094392150141414,-0.28055217897985796,0.07836635938194658,0.5642875808093724,0.007650621227955969,-0.2137849206086673,0.53702,74.038,2011
-0.9010725339569481,-0.6116847251139841,0.4719306415706328,-0.515733921003944,-0.2911802959581257,0.09024257203747794,0.5915301141814172,0.008898613051371277,-0.22455459543391204,0.56444,74.382,2011
-0.9694834931054511,-0.6429520994636202,0.8410365638321227,-0.5642401848077166,-0.35825552310986336,0.018985296104235782,0.6019082221326612,-0.034781100768143225,-0.30083979211273804,0.5651,74.48,2011
-1.0242938639540529,-0.6429520994636202,1.1002587331462184,-0.5047490419237002,-0.27181350501994794,0.11993310367633334,0.5448286284007753,0.05819429007625023,-0.3295589249800605,0.52805,76.167,2011
-1.0079731579941713,-0.6742194738132741,1.2045369054985207,-0.4608095256027252,-0.2611853880416802,0.1021187846930228,0.4734791362358994,0.04758635957722632,-0.1473719258529827,0.65832,75.718,2011
